iter	Passed	Remaining
0	1	1566
1	4	2084
2	6	2222
3	9	2296
4	12	2395
5	19	3184
6	22	3163
7	25	3207
8	28	3114
9	31	3093
10	34	3110
11	36	3042
12	39	3028
13	42	2973
14	45	2966
15	79	4871
16	81	4738
17	84	4608
18	86	4481
19	89	4407
20	92	4323
21	108	4811
22	111	4757
23	114	4660
24	117	4567
25	118	4430
26	120	4341
27	123	4299
28	128	4312
29	132	4285
30	136	4271
31	138	4199
32	141	4150
33	144	4096
34	146	4027
35	148	3968
36	150	3907
37	151	3847
38	153	3773
39	154	3716
40	157	3689
41	160	3650
42	161	3604
43	163	3559
44	165	3516
45	167	3473
46	169	3434
47	172	3414
48	174	3394
49	176	3359
50	178	3324
51	180	3294
52	182	3264
53	184	3234
54	186	3210
55	189	3201
56	192	3178
57	194	3164
58	197	3148
59	200	3134
60	203	3127
61	206	3120
62	208	3105
63	211	3098
64	214	3088
65	216	3068
66	219	3050
67	222	3047
68	224	3033
69	226	3013
70	228	2993
71	230	2973
72	232	2954
73	236	2953
74	238	2946
75	241	2935
76	243	2924
77	246	2912
78	249	2906
79	252	2899
80	254	2891
81	257	2881
82	259	2870
83	262	2860
84	266	2866
85	269	2866
86	272	2859
87	275	2850
88	277	2842
89	280	2831
90	328	3278
91	332	3280
92	335	3274
93	338	3264
94	341	3252
95	344	3241
96	347	3235
97	351	3233
98	354	3225
99	358	3222
100	361	3219
101	365	3214
102	368	3212
103	372	3205
104	374	3195
105	378	3193
106	381	3180
107	383	3167
108	386	3161
109	389	3149
110	391	3135
111	394	3129
112	396	3113
113	398	3097
114	400	3082
115	402	3069
116	404	3055
117	406	3040
118	408	3027
119	411	3017
120	413	3004
121	415	2990
122	417	2975
123	419	2962
124	420	2946
125	421	2924
126	423	2910
127	426	2904
128	428	2895
129	430	2883
130	432	2870
131	434	2859
132	436	2848
133	438	2836
134	441	2830
135	443	2820
136	445	2808
137	447	2796
138	449	2784
139	451	2772
140	453	2760
141	454	2748
142	457	2741
143	460	2734
144	463	2730
145	465	2722
146	467	2715
147	470	2708
148	473	2704
149	476	2698
150	479	2693
151	481	2686
152	483	2677
153	485	2667
154	488	2664
155	490	2655
156	493	2647
157	495	2640
158	497	2633
159	500	2626
160	502	2618
161	505	2616
162	507	2608
163	510	2600
164	512	2592
165	514	2584
166	516	2576
167	520	2579
168	523	2575
169	526	2569
170	528	2560
171	530	2551
172	531	2542
173	534	2535
174	570	2687
175	577	2702
176	584	2719
177	590	2727
178	596	2733
179	601	2739
180	605	2738
181	608	2735
182	612	2733
183	616	2731
184	618	2726
185	621	2719
186	623	2711
187	626	2704
188	628	2697
189	631	2692
190	633	2684
191	635	2674
192	637	2665
193	639	2656
194	641	2647
195	643	2638
196	644	2628
197	647	2622
198	649	2614
199	651	2606
200	653	2597
201	655	2588
202	657	2580
203	659	2572
204	661	2563
205	663	2556
206	665	2551
207	668	2544
208	670	2538
209	672	2531
210	675	2525
211	677	2519
212	680	2512
213	682	2506
214	684	2500
215	687	2494
216	689	2486
217	690	2478
218	693	2471
219	695	2465
220	697	2457
221	699	2450
222	701	2444
223	703	2437
224	706	2432
225	708	2426
226	711	2421
227	713	2414
228	714	2407
229	716	2399
230	718	2393
231	720	2386
232	723	2380
233	725	2374
234	727	2369
235	730	2365
236	732	2359
237	735	2353
238	737	2346
239	738	2339
240	741	2334
241	743	2328
242	745	2323
243	748	2318
244	750	2312
245	752	2307
246	754	2301
247	757	2296
248	759	2292
249	763	2289
250	766	2286
251	768	2282
252	771	2277
253	792	2326
254	796	2326
255	799	2323
256	802	2320
257	806	2318
258	809	2315
259	811	2311
260	814	2306
261	817	2301
262	819	2297
263	838	2338
264	844	2342
265	850	2346
266	855	2348
267	859	2347
268	863	2347
269	867	2344
270	870	2341
271	874	2339
272	877	2336
273	880	2332
274	882	2327
275	886	2324
276	888	2319
277	890	2313
278	892	2306
279	894	2300
280	896	2294
281	898	2287
282	900	2282
283	902	2275
284	904	2269
285	906	2263
286	908	2256
287	910	2250
288	912	2244
289	913	2237
290	916	2232
291	918	2226
292	919	2219
293	921	2213
294	924	2208
295	926	2203
296	928	2198
297	931	2194
298	934	2190
299	936	2185
300	939	2181
301	941	2176
302	943	2170
303	945	2164
304	948	2160
305	950	2156
306	953	2152
307	955	2147
308	957	2142
309	960	2136
310	961	2131
311	964	2126
312	967	2123
313	969	2117
314	971	2111
315	973	2106
316	975	2100
317	977	2095
318	979	2091
319	981	2084
320	983	2080
321	986	2077
322	988	2072
323	990	2066
324	992	2061
325	995	2057
326	1001	2060
327	1003	2055
328	1005	2050
329	1007	2044
330	1009	2039
331	1011	2034
332	1013	2029
333	1015	2025
334	1017	2019
335	1019	2014
336	1021	2009
337	1023	2004
338	1025	1998
339	1027	1994
340	1029	1990
341	1033	1987
342	1035	1984
343	1038	1980
344	1041	1976
345	1044	1974
346	1047	1971
347	1050	1968
348	1053	1965
349	1056	1962
350	1059	1959
351	1087	2002
352	1090	1998
353	1093	1994
354	1095	1991
355	1099	1988
356	1102	1985
357	1107	1985
358	1110	1982
359	1112	1978
360	1115	1974
361	1117	1970
362	1120	1966
363	1124	1964
364	1126	1960
365	1129	1956
366	1131	1952
367	1134	1948
368	1137	1945
369	1140	1942
370	1144	1941
371	1148	1938
372	1150	1934
373	1154	1932
374	1156	1926
375	1158	1922
376	1165	1925
377	1169	1924
378	1172	1921
379	1176	1918
380	1178	1915
381	1182	1912
382	1185	1910
383	1188	1906
384	1191	1903
385	1194	1899
386	1196	1895
387	1200	1893
388	1203	1890
389	1206	1886
390	1208	1883
391	1211	1879
392	1214	1875
393	1217	1872
394	1220	1869
395	1223	1865
396	1225	1861
397	1227	1856
398	1229	1852
399	1232	1849
400	1235	1845
401	1240	1845
402	1242	1841
403	1244	1836
404	1247	1832
405	1250	1829
406	1252	1824
407	1254	1820
408	1256	1815
409	1258	1810
410	1260	1806
411	1263	1803
412	1265	1799
413	1268	1795
414	1271	1791
415	1273	1787
416	1275	1783
417	1278	1780
418	1281	1776
419	1284	1773
420	1287	1770
421	1289	1766
422	1292	1762
423	1295	1759
424	1297	1755
425	1300	1752
426	1302	1748
427	1306	1745
428	1309	1742
429	1312	1739
430	1314	1735
431	1317	1731
432	1319	1727
433	1321	1723
434	1323	1718
435	1326	1716
436	1329	1712
437	1331	1708
438	1333	1704
439	1336	1700
440	1338	1696
441	1341	1693
442	1343	1689
443	1345	1685
444	1347	1681
445	1349	1676
446	1351	1672
447	1353	1667
448	1356	1664
449	1358	1660
450	1361	1657
451	1363	1652
452	1365	1648
453	1367	1644
454	1369	1640
455	1371	1636
456	1374	1633
457	1376	1629
458	1379	1625
459	1381	1621
460	1383	1617
461	1385	1613
462	1388	1610
463	1390	1606
464	1393	1602
465	1395	1598
466	1397	1594
467	1399	1590
468	1401	1587
469	1404	1583
470	1407	1580
471	1409	1577
472	1412	1573
473	1414	1569
474	1415	1564
475	1418	1561
476	1420	1557
477	1423	1554
478	1425	1550
479	1427	1546
480	1429	1542
481	1431	1538
482	1434	1535
483	1436	1531
484	1442	1532
485	1445	1528
486	1447	1524
487	1450	1521
488	1452	1518
489	1455	1514
490	1458	1511
491	1472	1520
492	1476	1518
493	1480	1516
494	1486	1516
