iter	Passed	Remaining
0	8	8793
1	11	5713
2	13	4595
3	16	4062
4	23	4772
5	26	4426
6	29	4157
7	32	4017
8	35	3870
9	37	3729
10	40	3600
11	42	3488
12	45	3425
13	47	3378
14	50	3302
15	52	3215
16	54	3156
17	56	3090
18	58	3026
19	60	2966
20	63	2966
21	65	2931
22	69	2933
23	71	2901
24	73	2877
25	74	2803
26	77	2776
27	79	2771
28	82	2769
29	84	2739
30	86	2705
31	88	2670
32	90	2641
33	92	2627
34	95	2620
35	96	2596
36	99	2579
37	101	2557
38	102	2537
39	104	2518
40	106	2499
41	109	2493
42	121	2702
43	123	2682
44	125	2667
45	127	2643
46	129	2619
47	131	2599
48	132	2578
49	135	2567
50	137	2560
51	140	2562
52	143	2570
53	147	2581
54	149	2572
55	151	2558
56	153	2544
57	156	2534
58	157	2518
59	159	2503
60	161	2486
61	163	2473
62	165	2459
63	167	2444
64	169	2434
65	171	2425
66	173	2414
67	175	2401
68	177	2396
69	179	2387
70	182	2381
71	184	2375
72	186	2368
73	188	2361
74	191	2357
75	193	2353
76	196	2351
77	198	2342
78	200	2333
79	202	2329
80	205	2337
81	208	2333
82	210	2323
83	212	2313
84	213	2303
85	215	2293
86	217	2285
87	220	2286
88	223	2282
89	225	2277
90	227	2270
91	228	2253
92	230	2245
93	232	2244
94	235	2248
95	238	2249
96	241	2248
97	244	2246
98	246	2246
99	250	2250
100	254	2263
101	257	2264
102	259	2260
103	262	2260
104	264	2256
105	267	2252
106	269	2246
107	271	2240
108	273	2236
109	294	2382
110	301	2416
111	308	2442
112	313	2457
113	316	2461
114	319	2462
115	322	2460
116	325	2457
117	328	2455
118	330	2448
119	332	2439
120	334	2430
121	336	2421
122	338	2411
123	340	2402
124	341	2392
125	343	2385
126	346	2379
127	348	2371
128	349	2362
129	351	2352
130	353	2343
131	355	2334
132	356	2325
133	358	2317
134	360	2311
135	362	2304
136	365	2299
137	367	2293
138	369	2288
139	371	2282
140	374	2281
141	377	2280
142	379	2276
143	382	2272
144	384	2267
145	386	2261
146	388	2257
147	391	2253
148	393	2246
149	395	2239
150	397	2233
151	399	2226
152	400	2219
153	403	2215
154	405	2208
155	407	2207
156	417	2242
157	420	2239
158	425	2248
159	428	2248
160	431	2249
161	434	2246
162	436	2240
163	438	2235
164	440	2230
165	442	2225
166	445	2222
167	447	2217
168	450	2213
169	452	2209
170	454	2205
171	457	2201
172	459	2197
173	462	2193
174	464	2188
175	466	2183
176	468	2177
177	470	2172
178	472	2168
179	474	2163
180	477	2158
181	479	2154
182	481	2148
183	483	2142
184	485	2139
185	487	2135
186	490	2130
187	492	2125
188	494	2120
189	496	2114
190	498	2110
191	501	2108
192	503	2104
193	505	2098
194	506	2092
195	508	2086
196	510	2080
197	512	2074
198	514	2069
199	516	2067
200	528	2102
201	531	2099
202	533	2095
203	535	2090
204	537	2085
205	539	2079
206	541	2073
207	543	2069
208	545	2065
209	548	2061
210	550	2057
211	552	2053
212	554	2050
213	557	2047
214	559	2043
215	562	2040
216	564	2037
217	566	2032
218	568	2028
219	571	2026
220	573	2022
221	575	2017
222	578	2014
223	580	2012
224	583	2008
225	585	2005
226	587	2001
227	589	1997
228	591	1993
229	594	1989
230	597	1989
231	600	1988
232	604	1991
233	607	1989
234	610	1987
235	629	2036
236	631	2032
237	633	2026
238	634	2021
239	636	2016
240	638	2010
241	640	2005
242	642	2002
243	644	1997
244	646	1992
245	648	1986
246	649	1981
247	651	1974
248	652	1969
249	654	1963
250	656	1960
251	659	1957
252	661	1954
253	664	1950
254	666	1946
255	668	1941
256	670	1939
257	673	1936
258	685	1962
259	687	1957
260	690	1953
261	692	1950
262	694	1945
263	696	1940
264	698	1936
265	700	1932
266	702	1928
267	704	1923
268	706	1920
269	709	1916
270	710	1912
271	713	1910
272	715	1906
273	718	1902
274	720	1899
275	722	1895
276	724	1890
277	726	1885
278	728	1882
279	730	1878
280	732	1874
281	735	1871
282	737	1867
283	739	1864
284	742	1862
285	744	1858
286	746	1854
287	748	1849
288	750	1846
289	752	1842
290	755	1839
291	757	1836
292	759	1832
293	761	1828
294	763	1825
295	767	1825
296	771	1825
297	790	1862
298	796	1866
299	803	1874
300	808	1877
301	812	1876
302	817	1881
303	821	1879
304	823	1877
305	826	1874
306	828	1870
307	831	1868
308	833	1863
309	856	1906
310	859	1903
311	861	1899
312	864	1897
313	866	1894
314	869	1890
315	871	1886
316	873	1881
317	875	1876
318	877	1873
319	880	1870
320	883	1867
321	885	1863
322	887	1859
323	889	1854
324	890	1850
325	892	1845
326	895	1842
327	929	1904
328	932	1901
329	935	1899
330	937	1895
331	940	1892
332	942	1888
333	945	1885
334	947	1881
335	949	1876
336	951	1872
337	953	1867
338	977	1905
339	987	1916
340	997	1927
341	1003	1931
342	1009	1933
343	1012	1931
344	1016	1929
345	1018	1925
346	1021	1921
347	1023	1918
348	1025	1913
349	1028	1909
350	1030	1905
351	1032	1900
352	1034	1895
353	1036	1891
354	1038	1886
355	1040	1882
356	1042	1877
357	1044	1873
358	1046	1868
359	1048	1863
360	1050	1859
361	1052	1854
362	1054	1849
363	1057	1846
364	1059	1842
365	1061	1838
366	1063	1833
367	1064	1828
368	1067	1824
369	1069	1820
370	1071	1816
371	1073	1812
372	1075	1807
373	1076	1802
374	1078	1797
375	1080	1793
376	1082	1788
377	1084	1783
378	1086	1780
379	1088	1776
380	1090	1772
381	1093	1768
382	1095	1764
383	1098	1761
384	1100	1757
385	1102	1753
